Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YLR403W	hr	2.6	Christiano R	2014
YLR405W	hr	12.7	Christiano R	2014
YLR406C	hr	10.3	Christiano R	2014
YLR407W	hr	2.3	Christiano R	2014
YLR410W	hr	11.5	Christiano R	2014
YLR412W	hr	10.0	Christiano R	2014
YLR413W	hr	8.8	Christiano R	2014
YLR414C	hr	4.5	Christiano R	2014
YLR417W	hr	56.4	Christiano R	2014
YLR418C	hr	10.4	Christiano R	2014
YLR419W	hr	8.2	Christiano R	2014
YLR420W	hr	11.1	Christiano R	2014
YLR421C	hr	8.0	Christiano R	2014
YLR422W	hr	6.0	Christiano R	2014
YLR423C	hr	5.9	Christiano R	2014
YLR424W	hr	7.4	Christiano R	2014
YLR427W	hr	9.2	Christiano R	2014
YLR429W	hr	11.2	Christiano R	2014
YLR430W	hr	6.6	Christiano R	2014
YLR431C	hr	32.0	Christiano R	2014
YLR432W	hr	10.4	Christiano R	2014
YLR433C	hr	10.5	Christiano R	2014
YLR435W	hr	9.8	Christiano R	2014
YLR438C-A	hr	9.1	Christiano R	2014
YLR439W	hr	9.9	Christiano R	2014
YLR440C	hr	8.9	Christiano R	2014
YLR441C	hr	9.7	Christiano R	2014
YLR442C	hr	9.9	Christiano R	2014
YLR447C	hr	10.0	Christiano R	2014
YLR448W	hr	10.1	Christiano R	2014
YLR449W	hr	9.0	Christiano R	2014
YLR450W	hr	12.9	Christiano R	2014
YLR452C	hr	4.6	Christiano R	2014
YLR454W	hr	6.3	Christiano R	2014
YLR455W	hr	7.4	Christiano R	2014
YML001W	hr	9.6	Christiano R	2014
YML004C	hr	4.0	Christiano R	2014
YML007W	hr	3.0	Christiano R	2014
YML008C	hr	10.0	Christiano R	2014
YML009C	hr	3.1	Christiano R	2014
YML010W	hr	7.4	Christiano R	2014
YML011C	hr	5.2	Christiano R	2014
YML012W	hr	9.3	Christiano R	2014
YML013W	hr	5.1	Christiano R	2014
YML014W	hr	8.8	Christiano R	2014
YML015C	hr	7.5	Christiano R	2014
YML016C	hr	9.6	Christiano R	2014
YML017W	hr	10.9	Christiano R	2014
YML020W	hr	8.6	Christiano R	2014
YML021C	hr	6.6	Christiano R	2014
YML022W	hr	8.4	Christiano R	2014
YML025C	hr	5.2	Christiano R	2014
YML028W	hr	10.9	Christiano R	2014
YML029W	hr	6.7	Christiano R	2014
YML030W	hr	10.0	Christiano R	2014
YML031W	hr	10000.0	Christiano R	2014
YML032C	hr	6.7	Christiano R	2014
YML034W	hr	7.1	Christiano R	2014
YML035C	hr	9.0	Christiano R	2014
YML036W	hr	31.1	Christiano R	2014
YML037C	hr	5.7	Christiano R	2014
YML038C	hr	2.2	Christiano R	2014
YML039W	hr	7.8	Christiano R	2014
YML046W	hr	6.9	Christiano R	2014
YML048W	hr	8.2	Christiano R	2014
YML049C	hr	11.9	Christiano R	2014
YML052W	hr	7.2	Christiano R	2014
YML055W	hr	6.0	Christiano R	2014
YML056C	hr	12.2	Christiano R	2014
YML057W	hr	9.5	Christiano R	2014
YML058W	min	36.0	Christiano R	2014
YML060W	hr	1.5	Christiano R	2014
YML062C	hr	7.6	Christiano R	2014
YML063W	hr	11.3	Christiano R	2014
YML064C	hr	2.7	Christiano R	2014
YML065W	min	34.3	Christiano R	2014
YML067C	hr	6.7	Christiano R	2014
YML069W	hr	11.1	Christiano R	2014
YML070W	hr	10.2	Christiano R	2014
YML072C	hr	8.8	Christiano R	2014
YML073C	hr	10.1	Christiano R	2014
YML074C	hr	8.6	Christiano R	2014
YML075C	hr	14.4	Christiano R	2014
YML076C	hr	5.9	Christiano R	2014
YML078W	hr	10.6	Christiano R	2014
YML079W	hr	12.1	Christiano R	2014
YML080W	hr	7.2	Christiano R	2014
YML081C-A	hr	4.4	Christiano R	2014
YML081W	hr	6.0	Christiano R	2014
YML082W	hr	9.8	Christiano R	2014
YML085C	hr	19.7	Christiano R	2014
YML086C	hr	9.3	Christiano R	2014
YML092C	hr	11.6	Christiano R	2014
YML093W	hr	4.1	Christiano R	2014
YML094W	hr	9.6	Christiano R	2014
YML095C	hr	8.9	Christiano R	2014
YML096W	hr	7.5	Christiano R	2014
YML097C	hr	9.4	Christiano R	2014
YML098W	hr	7.1	Christiano R	2014
YML100W	hr	10.7	Christiano R	2014
YML101C	hr	11.2	Christiano R	2014
YML103C	hr	8.3	Christiano R	2014
YML105C	hr	9.7	Christiano R	2014
YML106W	hr	10.7	Christiano R	2014
YML107C	hr	5.4	Christiano R	2014
YML108W	hr	7.7	Christiano R	2014
YML109W	hr	4.4	Christiano R	2014
YML110C	hr	8.1	Christiano R	2014
YML111W	hr	5.5	Christiano R	2014
YML112W	hr	9.0	Christiano R	2014
YML114C	hr	9.3	Christiano R	2014
YML117W	hr	7.1	Christiano R	2014
YML120C	hr	8.4	Christiano R	2014
YML121W	hr	11.0	Christiano R	2014
YML124C	hr	12.9	Christiano R	2014
YML125C	hr	9.2	Christiano R	2014
YML126C	hr	10.6	Christiano R	2014
YML127W	hr	8.5	Christiano R	2014
YML128C	hr	4.1	Christiano R	2014
YML129C	hr	4.4	Christiano R	2014
YML130C	hr	22.1	Christiano R	2014
YML131W	hr	11.1	Christiano R	2014
YMR004W	hr	9.1	Christiano R	2014
YMR005W	hr	8.4	Christiano R	2014
YMR009W	hr	4.8	Christiano R	2014
YMR010W	hr	5.4	Christiano R	2014
YMR011W	hr	1.1	Christiano R	2014
YMR012W	hr	10.0	Christiano R	2014
YMR013C	hr	8.5	Christiano R	2014
YMR014W	hr	6.5	Christiano R	2014
YMR015C	hr	2.1	Christiano R	2014
YMR022W	hr	7.5	Christiano R	2014
YMR024W	hr	8.4	Christiano R	2014
YMR026C	hr	8.0	Christiano R	2014
YMR027W	hr	11.6	Christiano R	2014
YMR028W	min	8.2	Christiano R	2014
YMR029C	hr	8.4	Christiano R	2014
YMR031C	hr	5.5	Christiano R	2014
YMR032W	hr	4.6	Christiano R	2014
YMR033W	hr	10000.0	Christiano R	2014
YMR037C	hr	6.4	Christiano R	2014
YMR038C	hr	9.7	Christiano R	2014
YMR039C	hr	10.0	Christiano R	2014
YMR041C	hr	8.9	Christiano R	2014
YMR042W	hr	3.0	Christiano R	2014
YMR044W	hr	7.9	Christiano R	2014
YMR047C	hr	11.4	Christiano R	2014
YMR048W	hr	4.9	Christiano R	2014
YMR049C	hr	9.6	Christiano R	2014
YMR052W	hr	6.5	Christiano R	2014
YMR054W	hr	7.8	Christiano R	2014
YMR055C	hr	2.6	Christiano R	2014
YMR058W	hr	2.4	Christiano R	2014
YMR059W	hr	6.9	Christiano R	2014
YMR060C	hr	7.7	Christiano R	2014
YMR061W	hr	11.2	Christiano R	2014
YMR062C	hr	580.0	Christiano R	2014
YMR067C	hr	8.0	Christiano R	2014
YMR071C	hr	39.6	Christiano R	2014
YMR072W	hr	9.6	Christiano R	2014
YMR073C	hr	6.6	Christiano R	2014
YMR074C	hr	7.9	Christiano R	2014
YMR075W	hr	8.2	Christiano R	2014
YMR076C	hr	8.7	Christiano R	2014
YMR077C	hr	8.8	Christiano R	2014
YMR078C	hr	6.1	Christiano R	2014
YMR079W	hr	11.4	Christiano R	2014
YMR080C	hr	9.1	Christiano R	2014
YMR083W	hr	6.9	Christiano R	2014
YMR086W	hr	8.9	Christiano R	2014
YMR089C	hr	7.7	Christiano R	2014
YMR090W	hr	36.2	Christiano R	2014
YMR091C	hr	9.5	Christiano R	2014
YMR092C	hr	13.7	Christiano R	2014
YMR093W	hr	8.5	Christiano R	2014
YMR096W	hr	10000.0	Christiano R	2014
YMR097C	hr	29.4	Christiano R	2014
YMR099C	hr	10.1	Christiano R	2014
YMR102C	hr	7.3	Christiano R	2014
YMR105C	hr	30.5	Christiano R	2014
YMR106C	hr	9.3	Christiano R	2014
YMR108W	hr	8.5	Christiano R	2014
YMR109W	hr	10.0	Christiano R	2014
YMR110C	hr	10.4	Christiano R	2014
YMR111C	hr	7.2	Christiano R	2014
YMR112C	hr	5.0	Christiano R	2014
YMR114C	hr	6.4	Christiano R	2014
YMR115W	hr	7.9	Christiano R	2014
YMR116C	hr	10.1	Christiano R	2014
YMR117C	hr	6.9	Christiano R	2014
YMR119W	hr	10.0	Christiano R	2014
YMR120C	hr	11.0	Christiano R	2014
YMR121C	hr	20.1	Christiano R	2014
YMR123W	hr	7.2	Christiano R	2014
YMR124W	hr	9.4	Christiano R	2014
YMR125W	hr	11.0	Christiano R	2014
YMR127C	hr	10000.0	Christiano R	2014
YMR128W	hr	6.3	Christiano R	2014
YMR129W	hr	9.0	Christiano R	2014
YMR130W	hr	8.9	Christiano R	2014
YMR131C	hr	9.4	Christiano R	2014
YMR132C	hr	31.2	Christiano R	2014
YMR134W	hr	7.4	Christiano R	2014
YMR135C	hr	7.3	Christiano R	2014
YMR139W	hr	11.1	Christiano R	2014
YMR140W	hr	7.6	Christiano R	2014
YMR142C	hr	11.0	Christiano R	2014
YMR145C	hr	4.2	Christiano R	2014
YMR146C	hr	9.6	Christiano R	2014
YMR147W	hr	4.1	Christiano R	2014
YMR149W	hr	10.9	Christiano R	2014
YMR152W	hr	9.5	Christiano R	2014
YMR153W	hr	8.4	Christiano R	2014
YMR158W	hr	6.2	Christiano R	2014
YMR159C	hr	5.6	Christiano R	2014
YMR161W	hr	8.5	Christiano R	2014
YMR165C	hr	8.4	Christiano R	2014
YMR167W	hr	8.4	Christiano R	2014
YMR168C	hr	9.2	Christiano R	2014
YMR169C	hr	10000.0	Christiano R	2014
YMR170C	hr	20.8	Christiano R	2014
YMR171C	hr	5.1	Christiano R	2014
YMR172W	hr	6.9	Christiano R	2014
YMR173W	hr	4.9	Christiano R	2014
YMR174C	hr	10.1	Christiano R	2014
YMR178W	hr	12.0	Christiano R	2014
YMR183C	hr	9.2	Christiano R	2014
YMR184W	hr	2.5	Christiano R	2014
YMR185W	hr	8.3	Christiano R	2014
YMR186W	hr	16.6	Christiano R	2014
YMR188C	hr	5.9	Christiano R	2014
YMR189W	hr	6.6	Christiano R	2014
YMR193W	hr	6.0	Christiano R	2014
YMR194W	hr	10.7	Christiano R	2014
YMR196W	hr	10.2	Christiano R	2014
YMR197C	hr	7.5	Christiano R	2014
YMR202W	hr	10.3	Christiano R	2014
YMR203W	hr	9.2	Christiano R	2014
YMR205C	hr	10.9	Christiano R	2014
YMR208W	hr	14.7	Christiano R	2014
YMR209C	hr	10.5	Christiano R	2014
YMR210W	hr	3.7	Christiano R	2014
YMR211W	hr	8.2	Christiano R	2014
YMR212C	hr	7.5	Christiano R	2014
YMR213W	hr	6.9	Christiano R	2014
YMR215W	hr	2.8	Christiano R	2014
YMR216C	hr	7.4	Christiano R	2014
YMR217W	hr	8.9	Christiano R	2014
YMR218C	hr	6.7	Christiano R	2014
YMR219W	hr	5.9	Christiano R	2014
YMR220W	hr	8.3	Christiano R	2014
YMR223W	hr	9.0	Christiano R	2014
YMR224C	hr	20.4	Christiano R	2014
YMR226C	hr	8.8	Christiano R	2014
YMR227C	hr	6.8	Christiano R	2014
YMR228W	hr	9.5	Christiano R	2014
YMR229C	hr	8.6	Christiano R	2014
YMR231W	hr	7.3	Christiano R	2014
YMR233W	hr	6.3	Christiano R	2014
YMR234W	hr	6.1	Christiano R	2014
YMR235C	hr	11.6	Christiano R	2014
YMR236W	hr	5.8	Christiano R	2014
YMR237W	hr	7.5	Christiano R	2014
YMR239C	hr	8.1	Christiano R	2014
YMR240C	hr	9.4	Christiano R	2014
YMR241W	hr	8.2	Christiano R	2014
YMR243C	hr	9.1	Christiano R	2014
YMR244C-A	hr	5.4	Christiano R	2014
YMR246W	hr	5.4	Christiano R	2014
YMR247C	hr	9.5	Christiano R	2014
YMR250W	hr	9.5	Christiano R	2014
YMR255W	hr	3.5	Christiano R	2014
YMR258C	hr	8.8	Christiano R	2014
YMR259C	hr	7.9	Christiano R	2014
YMR260C	hr	10.3	Christiano R	2014
YMR261C	hr	9.8	Christiano R	2014
YMR263W	hr	5.6	Christiano R	2014
YMR264W	hr	8.5	Christiano R	2014
YMR265C	hr	9.5	Christiano R	2014
YMR266W	hr	7.1	Christiano R	2014
YMR267W	hr	13.4	Christiano R	2014
YMR268C	hr	15.1	Christiano R	2014
YMR269W	hr	9.3	Christiano R	2014
YMR270C	hr	6.4	Christiano R	2014
YMR272C	hr	4.3	Christiano R	2014
YMR275C	hr	8.3	Christiano R	2014
YMR276W	hr	11.5	Christiano R	2014
YMR277W	hr	9.7	Christiano R	2014
YMR278W	hr	11.9	Christiano R	2014
YMR281W	hr	7.1	Christiano R	2014
YMR282C	hr	7.0	Christiano R	2014
YMR283C	hr	7.8	Christiano R	2014
YMR284W	hr	7.2	Christiano R	2014
YMR285C	hr	9.7	Christiano R	2014
YMR286W	hr	4.2	Christiano R	2014
YMR290C	hr	7.4	Christiano R	2014
YMR291W	hr	1.3	Christiano R	2014
YMR293C	hr	7.8	Christiano R	2014
YMR294W	hr	8.2	Christiano R	2014
YMR295C	hr	3.7	Christiano R	2014
YMR296C	hr	11.3	Christiano R	2014
YMR297W	min	33.5	Christiano R	2014
YMR298W	hr	9.9	Christiano R	2014
YMR299C	hr	138.5	Christiano R	2014
YMR300C	hr	9.7	Christiano R	2014
YMR301C	hr	9.3	Christiano R	2014
YMR302C	hr	8.2	Christiano R	2014
YMR303C	hr	8.5	Christiano R	2014
YMR304W	hr	13.5	Christiano R	2014
YMR305C	hr	2.3	Christiano R	2014
YMR307W	hr	5.1	Christiano R	2014
YMR308C	hr	13.4	Christiano R	2014
YMR309C	hr	10.6	Christiano R	2014
YMR311C	hr	6.9	Christiano R	2014
YMR312W	hr	18.8	Christiano R	2014
YMR314W	hr	10.7	Christiano R	2014
YMR315W	hr	9.8	Christiano R	2014
YMR318C	hr	7.1	Christiano R	2014
YNL001W	hr	9.6	Christiano R	2014
YNL002C	hr	7.0	Christiano R	2014
YNL004W	hr	18.9	Christiano R	2014
YNL005C	hr	5.9	Christiano R	2014
YNL007C	hr	15.2	Christiano R	2014
YNL010W	hr	11.2	Christiano R	2014
YNL011C	hr	8.6	Christiano R	2014
YNL015W	hr	17.0	Christiano R	2014
YNL016W	hr	12.8	Christiano R	2014
YNL020C	hr	9.3	Christiano R	2014
YNL021W	hr	10.2	Christiano R	2014
YNL022C	hr	7.5	Christiano R	2014
YNL023C	hr	7.1	Christiano R	2014
YNL024C	hr	2.4	Christiano R	2014
YNL026W	hr	43.9	Christiano R	2014
YNL027W	hr	8.1	Christiano R	2014
YNL035C	hr	7.8	Christiano R	2014
YNL036W	min	28.0	Christiano R	2014
YNL037C	hr	15.8	Christiano R	2014
YNL039W	hr	4.7	Christiano R	2014
YNL040W	hr	8.7	Christiano R	2014
YNL041C	hr	8.4	Christiano R	2014
YNL044W	hr	11.1	Christiano R	2014
YNL045W	hr	9.3	Christiano R	2014
YNL047C	hr	2.1	Christiano R	2014
YNL048W	hr	8.8	Christiano R	2014
YNL049C	hr	11.0	Christiano R	2014
YNL050C	hr	9.8	Christiano R	2014
YNL051W	hr	7.7	Christiano R	2014
YNL052W	hr	3.1	Christiano R	2014
YNL055C	hr	12.4	Christiano R	2014
YNL059C	hr	9.8	Christiano R	2014
YNL061W	hr	9.4	Christiano R	2014
YNL062C	hr	8.0	Christiano R	2014
YNL064C	hr	11.4	Christiano R	2014
YNL066W	hr	1.4	Christiano R	2014
YNL067W	hr	10.3	Christiano R	2014
YNL068C	hr	6.1	Christiano R	2014
YNL069C	hr	9.8	Christiano R	2014
YNL071W	hr	10.4	Christiano R	2014
YNL072W	hr	6.3	Christiano R	2014
YNL073W	hr	16.5	Christiano R	2014
YNL074C	hr	2.7	Christiano R	2014
YNL075W	hr	6.6	Christiano R	2014
YNL076W	hr	15.3	Christiano R	2014
YNL078W	hr	2.4	Christiano R	2014
YNL079C	hr	12.5	Christiano R	2014
YNL083W	hr	1.5	Christiano R	2014
YNL084C	hr	9.0	Christiano R	2014
YNL085W	hr	1.2	Christiano R	2014
YNL087W	hr	8.6	Christiano R	2014
YNL088W	hr	7.2	Christiano R	2014
YNL090W	hr	6.9	Christiano R	2014
YNL091W	hr	6.9	Christiano R	2014
YNL094W	hr	4.9	Christiano R	2014
YNL096C	hr	9.6	Christiano R	2014
YNL097C	hr	8.5	Christiano R	2014
YNL098C	hr	8.4	Christiano R	2014
YNL103W	hr	3.0	Christiano R	2014
YNL104C	hr	15.9	Christiano R	2014
YNL106C	hr	12.2	Christiano R	2014
YNL107W	hr	6.6	Christiano R	2014
YNL108C	hr	14.7	Christiano R	2014
YNL110C	hr	5.4	Christiano R	2014
YNL111C	hr	8.8	Christiano R	2014
YNL112W	hr	7.5	Christiano R	2014
YNL113W	hr	10.7	Christiano R	2014
YNL115C	min	36.9	Christiano R	2014
YNL116W	hr	6.5	Christiano R	2014
YNL118C	hr	9.2	Christiano R	2014
YNL119W	hr	7.4	Christiano R	2014
YNL121C	hr	10.1	Christiano R	2014
YNL123W	hr	8.4	Christiano R	2014
YNL124W	hr	5.8	Christiano R	2014
YNL126W	hr	11.3	Christiano R	2014
YNL127W	hr	7.9	Christiano R	2014
YNL129W	hr	10.6	Christiano R	2014
YNL130C	hr	9.5	Christiano R	2014
YNL131W	hr	7.8	Christiano R	2014
YNL132W	hr	9.9	Christiano R	2014
YNL133C	hr	4.7	Christiano R	2014
YNL134C	hr	9.7	Christiano R	2014
YNL135C	hr	8.7	Christiano R	2014
YNL136W	hr	7.9	Christiano R	2014
YNL138W	hr	10.3	Christiano R	2014
YNL139C	hr	7.6	Christiano R	2014
YNL141W	hr	6.3	Christiano R	2014
YNL147W	hr	10000.0	Christiano R	2014
YNL148C	hr	7.0	Christiano R	2014
YNL149C	hr	10.2	Christiano R	2014
YNL151C	hr	7.0	Christiano R	2014
YNL152W	hr	7.9	Christiano R	2014
YNL153C	hr	9.8	Christiano R	2014
YNL154C	hr	7.6	Christiano R	2014
YNL155W	hr	2.8	Christiano R	2014
YNL156C	hr	8.9	Christiano R	2014
YNL160W	hr	44.1	Christiano R	2014
YNL161W	hr	8.0	Christiano R	2014
YNL163C	hr	11.1	Christiano R	2014
YNL164C	hr	5.4	Christiano R	2014
YNL166C	hr	6.1	Christiano R	2014
YNL167C	hr	4.6	Christiano R	2014
YNL168C	hr	7.7	Christiano R	2014
YNL169C	hr	4.5	Christiano R	2014
YNL173C	hr	5.6	Christiano R	2014
YNL175C	hr	7.7	Christiano R	2014
YNL177C	hr	46.4	Christiano R	2014
YNL178W	hr	10.1	Christiano R	2014
YNL180C	hr	5.5	Christiano R	2014
YNL181W	hr	8.8	Christiano R	2014
YNL182C	hr	8.4	Christiano R	2014
YNL183C	hr	7.4	Christiano R	2014
YNL185C	hr	9.9	Christiano R	2014
YNL188W	hr	4.9	Christiano R	2014
YNL189W	hr	9.8	Christiano R	2014
YNL191W	hr	7.1	Christiano R	2014
YNL192W	hr	5.3	Christiano R	2014
YNL193W	hr	8.9	Christiano R	2014
YNL197C	hr	8.6	Christiano R	2014
YNL199C	hr	9.9	Christiano R	2014
YNL200C	hr	10.8	Christiano R	2014
YNL201C	hr	4.9	Christiano R	2014
YNL206C	hr	9.2	Christiano R	2014
YNL207W	hr	8.8	Christiano R	2014
YNL208W	hr	57.2	Christiano R	2014
YNL209W	hr	10000.0	Christiano R	2014
YNL212W	hr	11.7	Christiano R	2014
YNL214W	hr	6.4	Christiano R	2014
YNL215W	hr	7.0	Christiano R	2014
YNL216W	hr	8.3	Christiano R	2014
YNL217W	hr	5.3	Christiano R	2014
YNL218W	hr	6.9	Christiano R	2014
YNL219C	hr	12.1	Christiano R	2014
YNL220W	hr	14.8	Christiano R	2014
YNL222W	hr	9.2	Christiano R	2014
YNL224C	hr	5.7	Christiano R	2014
YNL227C	hr	8.9	Christiano R	2014
YNL229C	hr	7.8	Christiano R	2014
YNL231C	hr	8.4	Christiano R	2014
YNL232W	hr	10.0	Christiano R	2014
YNL233W	hr	5.6	Christiano R	2014
YNL234W	hr	2.6	Christiano R	2014
YNL236W	hr	9.0	Christiano R	2014
YNL238W	hr	3.5	Christiano R	2014
YNL239W	hr	11.8	Christiano R	2014
YNL241C	hr	16.7	Christiano R	2014
YNL242W	hr	21.1	Christiano R	2014
YNL243W	hr	11.6	Christiano R	2014
YNL244C	hr	8.9	Christiano R	2014
YNL245C	hr	3.7	Christiano R	2014
YNL247W	hr	10.9	Christiano R	2014
YNL248C	hr	8.0	Christiano R	2014
YNL249C	hr	9.0	Christiano R	2014
YNL250W	hr	7.7	Christiano R	2014
YNL251C	hr	7.3	Christiano R	2014
YNL252C	hr	7.7	Christiano R	2014
YNL253W	hr	8.9	Christiano R	2014
YNL255C	hr	5.4	Christiano R	2014
YNL256W	hr	8.0	Christiano R	2014
YNL257C	hr	19.8	Christiano R	2014
YNL258C	hr	9.2	Christiano R	2014
YNL259C	hr	10.9	Christiano R	2014
YNL261W	hr	7.5	Christiano R	2014
YNL263C	hr	11.4	Christiano R	2014
YNL264C	hr	11.2	Christiano R	2014
YNL265C	hr	7.6	Christiano R	2014
YNL267W	hr	9.0	Christiano R	2014
YNL271C	hr	7.5	Christiano R	2014
YNL273W	hr	7.5	Christiano R	2014
YNL274C	hr	13.3	Christiano R	2014
YNL278W	hr	8.2	Christiano R	2014
YNL280C	hr	7.4	Christiano R	2014
YNL281W	hr	16.9	Christiano R	2014
YNL282W	hr	8.2	Christiano R	2014
YNL284C	hr	8.4	Christiano R	2014
YNL286W	min	12.0	Christiano R	2014
YNL287W	hr	12.1	Christiano R	2014
YNL288W	hr	20.6	Christiano R	2014
YNL290W	hr	12.8	Christiano R	2014
YNL291C	hr	4.8	Christiano R	2014
YNL292W	hr	9.9	Christiano R	2014
YNL293W	hr	11.2	Christiano R	2014
YNL295W	hr	2.2	Christiano R	2014
YNL297C	hr	10.6	Christiano R	2014
YNL298W	hr	5.8	Christiano R	2014
YNL304W	hr	14.1	Christiano R	2014
YNL306W	hr	4.4	Christiano R	2014
YNL307C	hr	8.1	Christiano R	2014
YNL308C	hr	9.3	Christiano R	2014
YNL309W	hr	5.1	Christiano R	2014
YNL310C	hr	6.2	Christiano R	2014
YNL311C	hr	5.5	Christiano R	2014
YNL312W	hr	8.0	Christiano R	2014
YNL313C	hr	9.2	Christiano R	2014
YNL315C	hr	8.1	Christiano R	2014
YNL317W	hr	7.2	Christiano R	2014
YNL320W	hr	7.3	Christiano R	2014
YNL323W	hr	9.5	Christiano R	2014
YNL327W	min	25.4	Christiano R	2014
YNL328C	hr	5.3	Christiano R	2014
YNL329C	hr	10.0	Christiano R	2014
YNL330C	hr	10.6	Christiano R	2014
YNR001C	hr	8.8	Christiano R	2014
YNR003C	hr	7.2	Christiano R	2014
YNR006W	hr	7.9	Christiano R	2014
YNR008W	hr	7.1	Christiano R	2014
YNR010W	hr	6.6	Christiano R	2014
YNR011C	hr	6.5	Christiano R	2014
YNR012W	hr	7.1	Christiano R	2014
YNR013C	hr	9.1	Christiano R	2014
YNR015W	hr	6.9	Christiano R	2014
YNR016C	hr	11.4	Christiano R	2014
YNR017W	hr	8.4	Christiano R	2014
YNR018W	hr	2.4	Christiano R	2014
YNR019W	hr	12.6	Christiano R	2014
YNR020C	hr	12.3	Christiano R	2014
YNR021W	hr	10.5	Christiano R	2014
YNR022C	hr	3.9	Christiano R	2014
YNR023W	hr	9.1	Christiano R	2014
YNR024W	hr	5.6	Christiano R	2014
YNR026C	hr	9.3	Christiano R	2014
YNR027W	hr	12.4	Christiano R	2014
YNR028W	hr	1.5	Christiano R	2014
YNR029C	hr	11.8	Christiano R	2014
YNR030W	hr	9.6	Christiano R	2014
YNR032C-A	hr	8.2	Christiano R	2014
YNR032W	hr	4.3	Christiano R	2014
YNR033W	hr	9.0	Christiano R	2014
YNR034W	hr	21.5	Christiano R	2014
YNR035C	hr	23.0	Christiano R	2014
YNR036C	hr	4.2	Christiano R	2014
YNR037C	hr	3.1	Christiano R	2014
YNR038W	hr	5.8	Christiano R	2014
YNR040W	hr	10000.0	Christiano R	2014
YNR043W	hr	8.8	Christiano R	2014
YNR046W	hr	11.9	Christiano R	2014
YNR047W	hr	8.0	Christiano R	2014
YNR049C	hr	10.0	Christiano R	2014
YNR050C	hr	10.6	Christiano R	2014
YNR051C	hr	9.8	Christiano R	2014
YNR052C	hr	8.1	Christiano R	2014
YNR053C	hr	5.2	Christiano R	2014
YNR054C	hr	7.9	Christiano R	2014
YNR067C	hr	6.6	Christiano R	2014
YNR074C	hr	10.6	Christiano R	2014
YOL001W	hr	9.2	Christiano R	2014
YOL002C	hr	2.7	Christiano R	2014
YOL004W	hr	6.4	Christiano R	2014
YOL005C	hr	7.4	Christiano R	2014
YOL008W	hr	11.0	Christiano R	2014
YOL010W	hr	8.5	Christiano R	2014
YOL011W	hr	1.6	Christiano R	2014
YOL016C	hr	10.6	Christiano R	2014
YOL018C	hr	7.5	Christiano R	2014
YOL019W	hr	1.8	Christiano R	2014
YOL020W	hr	1.1	Christiano R	2014
YOL021C	hr	9.9	Christiano R	2014
YOL022C	hr	9.2	Christiano R	2014
YOL023W	hr	8.5	Christiano R	2014
YOL025W	hr	10.2	Christiano R	2014
YOL026C	hr	58.3	Christiano R	2014
YOL027C	hr	9.0	Christiano R	2014
YOL030W	hr	4.7	Christiano R	2014
YOL031C	hr	15.0	Christiano R	2014
YOL032W	hr	24.5	Christiano R	2014
YOL033W	hr	7.2	Christiano R	2014
YOL038W	hr	10.9	Christiano R	2014
YOL039W	hr	10.4	Christiano R	2014
YOL040C	hr	11.0	Christiano R	2014
YOL041C	hr	6.6	Christiano R	2014
YOL042W	hr	8.9	Christiano R	2014
YOL045W	hr	4.1	Christiano R	2014
YOL049W	hr	9.6	Christiano R	2014
YOL051W	hr	4.5	Christiano R	2014
YOL052C	hr	11.3	Christiano R	2014
YOL053W	hr	7.7	Christiano R	2014
YOL054W	hr	3.7	Christiano R	2014
YOL056W	hr	8.4	Christiano R	2014
YOL057W	hr	9.8	Christiano R	2014
YOL058W	hr	10000.0	Christiano R	2014
YOL059W	hr	10.6	Christiano R	2014
YOL060C	hr	5.0	Christiano R	2014
YOL061W	hr	9.9	Christiano R	2014
YOL062C	hr	15.5	Christiano R	2014
YOL063C	hr	5.7	Christiano R	2014
YOL064C	hr	12.2	Christiano R	2014
YOL065C	hr	7.5	Christiano R	2014
YOL066C	hr	14.3	Christiano R	2014
YOL068C	hr	6.8	Christiano R	2014
YOL069W	hr	8.9	Christiano R	2014
YOL070C	hr	4.5	Christiano R	2014
YOL071W	hr	5.5	Christiano R	2014
YOL072W	hr	7.7	Christiano R	2014
YOL076W	hr	10.0	Christiano R	2014
YOL077C	hr	11.1	Christiano R	2014
YOL077W-A	hr	2.6	Christiano R	2014
YOL078W	hr	6.6	Christiano R	2014
YOL080C	hr	5.7	Christiano R	2014
YOL081W	hr	8.0	Christiano R	2014
YOL082W	hr	2.1	Christiano R	2014
YOL083W	hr	7.1	Christiano R	2014
YOL086C	hr	6.1	Christiano R	2014
YOL086W-A	hr	19.3	Christiano R	2014
YOL087C	hr	9.0	Christiano R	2014
YOL088C	hr	6.5	Christiano R	2014
YOL089C	hr	7.6	Christiano R	2014
YOL090W	hr	9.7	Christiano R	2014
YOL093W	hr	20.2	Christiano R	2014
YOL094C	hr	15.3	Christiano R	2014
YOL096C	hr	5.8	Christiano R	2014
YOL097C	hr	11.4	Christiano R	2014
YOL098C	hr	9.7	Christiano R	2014
YOL102C	hr	7.5	Christiano R	2014
YOL103W-B	hr	9.9	Christiano R	2014
YOL108C	hr	3.8	Christiano R	2014
YOL109W	hr	8.6	Christiano R	2014
YOL111C	hr	13.2	Christiano R	2014
